doi;SurveyPaper;TheoryPaper;MethodPaper;EmpiricalPaper;SingleTimeSeries;MultipleTimeSeries
10.1016/j.compenvurbsys.2014.02.001;;;1;;;1
10.1109/tvcg.2014.2346433;;;1;;;1
10.14778/2732951.2732953;;;1;;1;
10.1109/tvcg.2014.2346920;;;;;;1
10.1145/2598153.2598172;;;1;;1;
10.1109/tvcg.2013.2297933;;;;1;1;
10.1145/2556288.2557200;;;;1;1;
10.1002/widm.1119;1;;;;;1
10.1145/2637748.2638423;;;1;;;1
10.1111/cgf.12396;;;1;;;1
10.1145/2470654.2466443;;;;1;1;
10.1145/2470654.2466441;;;1;;1;
10.1016/j.knosys.2012.12.011;;;1;;;1
10.1109/tvcg.2013.206;;;1;;;1
10.1109/tvcg.2012.128;;1;1;;;1
10.1109/tvcg.2013.221;;;;;;1
10.1109/tvcg.2013.222;;;;1;;1
10.1109/tvcg.2012.110;1;1;;;;
10.1109/iv.2013.19;;;1;;;1
10.1109/iv.2012.28;;;1;;;1
10.1109/tvcg.2012.191;;;1;;;1
10.1111/j.1467-8659.2012.03092.x;;;;1;1;
10.1145/2207676.2208556;;;;1;1;
10.2312/pe/eurovast/eurova12/031-035;;1;;1;;1
10.2312/pe/eurovisshort/eurovisshort2012/103-107;;;1;;;1
10.1109/tvcg.2010.225;;;1;;;1
10.1109/iv.2012.53;;;1;;;1
10.1109/vast.2012.6400504;;;1;;;1
10.1145/2166966.2167006;;;1;;;1
10.1109/tvcg.2012.253;;;1;;;1
10.1109/icsai.2012.6223048;;;1;;;1
10.1109/iccis.2012.334;;;1;;1;
10.1177/1473871611430769;;;1;;;1
10.1109/vast.2012.6400534;;;1;;;1
10.1109/biovis.2011.6094048;;;1;;;1
10.1109/ipdps.2011.17;;;1;;;1
10.1016/j.engappai.2010.09.007;1;;;;;1
10.1111/j.1467-8659.2010.01845.x;;;;1;;1
10.1109/tvcg.2011.179;;;1;;;1
10.1109/tvcg.2011.195;;;1;;;1
10.1111/j.1467-8659.2011.01920.x;;;1;;;1
10.1145/1978942.1979195;;;1;;;1
10.1109/tvcg.2011.239;;;1;;;1
10.2312/pe/eurovast/eurova11/009-012;;1;;;;1
10.1111/j.1467-8659.2011.01919.x;;;1;;;1
10.1007/978-0-85729-079-3;;1;;;;
10.1111/j.1467-8659.2011.01939.x;;;1;;;1
10.1109/iv.2010.12;;;1;;;1
10.1109/pacificvis.2010.5429607;;;1;;1;
10.1007/s00799-011-0072-x;;;1;;;1
10.1109/tvcg.2010.162;;;;1;;1
10.1109/tvcg.2009.84;1;1;;;;
10.1109/vast.2010.5652890;;;1;;;1
10.1109/tvcg.2010.179;;1;;;;
10.1109/tvcg.2010.193;;;1;;1;
10.1109/tvcg.2010.194;;;;1;;1
10.1109/pacificvis.2010.5429613;;;1;;;1
10.1109/vast.2010.5652530;;;1;;;1
10.1093/bioinformatics/btp628;;;1;;;1
10.1109/iv.2009.33;;;1;;;1
10.1109/vast.2009.5333920;;;;1;;1
10.1109/iv.2009.52;;;1;;1;
10.3414/me9227;;;1;;;
10.1198/jcgs.2009.0001;;;1;;1;
10.1145/1622176.1622217;;;1;;;1
10.1145/1518701.1518897;;;;1;1;
10.1109/iv.2008.104;;;;1;;
10.1111/j.1467-8659.2008.01222.x;;;1;1;1;
10.1109/vast.2008.4677357;;;1;1;;1
10.1109/iv.2008.65;;;;;;1
10.1109/tvcg.2008.166;;;1;1;;1
10.1016/j.engappai.2008.01.005;;;1;;1;
10.1109/tvcg.2008.175;;;1;;;1
10.1109/iv.2008.80;;;1;;;1
10.1109/tvcg.2007.70415;1;;;;;
10.1109/iv.2008.51;;;;1;;1
10.1109/iv.2007.28;;;1;;;1
10.1057/palgrave.ivs.9500154;;;1;;1;
10.1109/tvcg.2007.70577;1;;1;;;
10.2312/vissym/eurovis07/027-034;;;;1;;1
10.2312/vissym/eurovis07/019-026;;;1;;;1
10.1109/iv.2007.101;;;1;;;1
10.1109/wsc.2007.4419666;;1;;;;1
10.1109/iv.2007.124;;;1;;1;
10.1016/j.cag.2007.01.030;1;1;;;;
10.1109/tvcg.2006.184;;;;1;;
10.1057/palgrave.ivs.9500101;;;;1;;1
10.1109/infvis.2005.1532122;;;;1;;1
10.1016/j.patcog.2005.01.025;1;;;;;1
10.1109/infvis.2005.1532148;;;1;;;1
10.1117/12.587537;1;;;;;1
10.1007/11555261_66;;;1;;1;
10.1137/1.9781611972757.55;;;1;;;1
10.1109/infvis.2005.1532144;;;1;;1;1
10.1103/physreve.72.046220;;;1;;1;
10.1057/palgrave.ivs.9500089;;;1;;;1
10.1109/infvis.2004.11;;;1;;;1
10.1145/985692.985706;;;1;;;1
10.1057/palgrave.ivs.9500061;;;1;;;1
10.2312/vissym/vissym04/045-054;;;1;;1;
10.1057/palgrave.ivs.9500081;;;1;;;1
10.1145/1014052.1014104;;;1;;1;
10.1016/s1045-926x(03)00046-6;1;1;;;;
10.1145/775047.775128;;;1;;;1
10.1109/2945.981847;1;1;;;;
10.1145/506443.506477;;;1;;;1
10.1109/2945.981848;;;1;;;1
10.1007/3-540-45650-3_38;;;1;;;1
10.1145/634067.634292;;;1;;;1
10.1109/infvis.2001.963273;;;1;;1;
10.1109/infvis.2000.885098;;;1;;;1
10.1109/wise.2000.882407;1;;;;;
10.1109/infvis.1999.801851;;;1;;;1
10.1109/visual.1991.175794;;;;1;;
10.1080/00031305.1978.10479235;1;;;;;
;;;;;;
;;;;;;
;;;;;;
